Redacao,Nota
"""Entendo por que os jovens não gostam de Machado de Assis"". Assim a escritora Patrícia Secco justifica as adaptações por ela feitas do clássico ""O Alienista"" em uma versão simplificada que visa facilitar a compreensão dos leitores. Porém, será que o problema é que os jovens não gostam de Machado de Assis ou que não gostam de ler?
Um dos papéis da escola é despertar no aluno o interesse pela leitura, pela história e pela cultura do seu país. Se o objetivo do professor fosse apenas auxiliar o aluno a responder as questões de provas, bastaria que este lesse um resumo ou apostila com os pontos principais do livro. Mas, ao ler na íntegra a obra literária, o leitor tem a oportunidade de mergulhar no universo que o autor pretendia ao escrevê-la e descobrir outros ambientes, outras emoções.
Se os jovens fossem mais incentivados ao prazer de ler não teriam dificuldades nesse sentido. Seria apenas uma questão de gosto a busca por uma linguagem mais simples, atual ou clássica e rebuscada. Além disso, não é porque as obras de Machado de Assis, Graciliano Ramos, Álvares de Azevedo e outros estejam nos currículos escolares que elas só sejam lidas com objetivo educacional. Elas são tão impressionantes que resistiram ao tempo.
A verdade é que, com o avanço das mídias tecnológicas, em que tudo é cada vez mais rápido e fácil, são poucos os jovens que se interessam pela leitura, algo que demanda tempo e concentração. Mas essa é uma questão social e cultural que precisa ser trabalhada.
Portanto, a escola é o lugar certo para aproximar a juventude da cultura, do aprendizado e de desafios que enriquecem o conhecimento. A versão simplificada irá privá-los da oportunidade de conhecer a profundidade da obra de Machado de Assis e talvez de muitos outros gênios, por contentar-se apenas em simplificá-los.",8.5
"""Eu tenho um sonho"", disse Martin Luther King na luta pelos diretos civis para os negros cem anos após a abolição da escravidão estadunidense.
Continuamos a sonhar que essa atrocidade tão antiga não afete ainda mais a sociedade atual e que principalmente deixe de existir.  Atualmente grande parte da escravidão se encontra camuflada em um sistema muito semelhante ao processo de escravização indígena na América espanhola, onde estes recebiam  ""algo"" pelo trabalho realizado, ou seja, era estabelecido um regime de semi-escravidão.
Nesse sentido, as regiões mais populosas do globo são mais afetadas, no atual mundo capitalista, a procura por alta produtividade e baixos custos faz com que os escrúpulos de alguns empresários inexistam, nesta relação capital e todo homem nasce livre e igual perante a lei, a cobiça esta vencendo.
Portanto, a luta pelo fim da escravidão é árdua, a ONU (organização das nações unidas) deve juntamente com a OIT (organização internacional do trabalho ), pressionar órgãos financeiros de destaque como o Banco Mundial e O FMI (fundo monetário internacional ) a não financiar escravidão pelo mundo.
No Brasil cabe ao ministério do trabalho informar, principalmente os mais humildes, de seus direitos realizando ações, com escolta da polícia federal em regiões mais propensas a tal abuso, pois como disse Abraham Lincoln ""se a escravidão não é crime, não há crimes"".",2.5
"""Feliz aquele que transfere o que sabe e aprende o que ensina"". Essa frase da saudosa poetisa Cora Coralina é o argumento para a motivação de professores que contribuem para o sucesso de muitas escolas no interior do Brasil.
Apesar dos governos continuarem desvalorizando os professores da rede pública de ensino ainda assim encontramos escolas que contribuem decisivamente para o bom desempenho do Índice de Desenvolvimento da Educação Básica (Ideb) em seus municípios.
Essas metas são alcançadas graças a motivação desses profissionais que, mesmo com baixos salários acabam ministrando boas aulas, porque amam a profissão. São eles que levam conhecimento e incentivo aos alunos. Tudo isso aliado a uma competente direção que, através de um regime disciplinar exigente proporciona a seus alunos uma escola compromissada com o que ministra.
O resultado não poderia ser diferente: a evolução intelectual de seus alunos e a boa repercussão da escola na comunidade que por ser referência entre os estudantes acaba virando local de migração de outros estudantes que pedem aos pais a transferência.
Concluo que o sucesso educacional de um povo é resultado da boa escola que acolhe e orienta para formação de futuros profissionais nas mais variadas profissões .",7.0
"""Ideologia"", ""O tempo não pára "" e ""Exagerado"" são algumas das músicas que eternizaram o cantor brasileiro Cazuza. Outros artistas como Renato Russo e Freddie Mercury também são ídolos até hoje. O que eles possuem em comum? O fato de terem adquirido a Aids, uma doença viral que atinge 600 mil pessoas no Brasil. Esta vem sendo esquecida nos últimos anos devido à mídia, aos próprios jovens e ao governo.
Os meios de comunicação em massa, em especial a televisão, são responsáveis por esta situação quando não a abordam de maneira satisfatória. Percebe-se, nesse caso, o pouco espaço dedicado à discussão do tema, visto que muitas vezes o sexo gratuito, banal e despreocupado recebe destaque em programas, em detrimento da relação segura e respeitosa, com o uso de camisinha.
Além da passividade exercida pela mídia, está claro que os próprios jovens não se preocupam com a possibilidade de adquirirem a patologia. Com essa concepção, estes não utilizam os preservativos, visto como um falta de confiança para com o parceiro e não realizam os exames que concedem um diagnóstico preciso. Muitos desses indivíduos possuem as informações necessárias para o entendimento da doença, contudo pensam se tratar de algo distante de sua realidade.
Bem como a juventude, o governo também tem dado pouca relevância ao assunto, mesmo que alguns programas já estejam em vigor. Indubitavelmente, este possui uma grande influência, que deveria ser utilizada para a melhoria das taxas ainda elevadas de aidéticos brasileiros. Com isso, as despesas relacionadas à saúde diminuiriam e possibilitariam o redirecionamento do capital remanescente a outros setores. Ganha a sociedade, ganha o Estado.
Portanto, é evidente a negligência e conivência de diversos setores sociais com relação ao combate ao vírus. Convém ressaltar a importância da união do público e do privado no investimento em novas pesquisas de tratamentos e nas políticas direcionadas à divulgação e orientação de adolescentes nas escolas. Desse modo, todos seriam poupados da perda de seus ídolos. Cazuza, Renato Russo e Freddie Mercury que o digam.",9.5
"""Mudaram as estações, nada mudou..."". Esse é um trecho da música ""Por enquanto"" de Cássia Eller, que pode muito bem retratar o combate ao mosquito Aedes aegypti no Brasil. Passaram-se anos e a sensação é de derrota, pois pouco evolui nesse cenário.
Um dos fatores para isso, é a cooperação da população. Não seguem as recomendações para evitarem água parada na sua moradia, jogam lixo na rua ou evitam a fiscalização dos órgãos.
Além disso, as medidas são sempre as mesmas. Fiscalizações, cartilhas, campanhas etc. Se após longos períodos aplicando o mesmo ""remédio"" não surtiu efeito, o que é sensato: aumentar a dosagem ou mudá-lo? Certamente, mudar.
Outro ponto importante é a nulidade da pesquisa científica nesse campo. Até o momento não foi desenvolvida uma vacina ou meios menos caseiros de evitar a contaminação em locais com maior incidência, como nas residências.
Deste modo, seria interessante considerar fiscalizações agendadas nas casas, evitando o desencontro. E premiações ao desenvolvimento científico na área, incentivando melhores propostas nesse debate.",3.5
"""Mulher com roupa curta merece ser atacada"". Esta expressão foi alvo de polêmica, recentemente, em diversos meios de comunicação, especialmente nas redes sociais. Por meio destes, parte da população brasileira mostrou sua indignação para com o que a expressão, de certa forma, desencadeou.
Essa polêmica teve origem em uma pesquisa realizada pelo Instituto de Pesquisa Econômica e Aplicada, órgão vinculado ao Governo Federal, que teve como tema o estupro e revelou que 65% dos entrevistados aceitam que as mulheres que se vestem com roupas curtas e/ou decotadas provocam os agressores, e por isso merecem ser estupradas. Porém, isso não justifica os inúmeros e frequentes casos de abuso sexual infantil, também considerado crime.
O que se tem considerado, atualmente, é que o Brasil está se adaptando à ""cultura do estupro""; este, que tem sido praticado até mesmo nos metrôs, está sendo acobertado por uma sociedade machista, que mesmo com a passagem dos anos, preserva uma concepção antiquada de que a mulher é um objeto de desejo, e por isso deve seguir restrições. Ao contrário disso, é importante perceber que o estupro é o crime em questão e quem o pratica está agindo por livre, racional e espontânea vontade.
Por isso, os movimentos estão se espalhando pela internet, mas ainda não são suficientes para abrir os olhos da população ou prevenir os casos no país. Além das campanhas de conscientização que precisam ser mais promovidas, é de extrema importância que o Governo amplie o programa de segurança e instaure uma fiscalização em lugares fechados e mais propensos a ocorrer o crime, como, por exemplo, nos metrôs. Assim, pode-se obter um país mais seguro e consciente.",5.0
"""Mulher que usa roupa curta merece ser estuprada!"", foi essa frase que entrou em discussão, logo após a revelação da página do Facebook chamada ""Encoxadores"". Depois disso, o Ipea (Instituto de Pesquisa Econômica Aplicada), divulgou na quinta-feira (27) que 65% dos entrevistados, concordaram com a frase, sendo que a maioria dos entrevistados eram mulheres.
Quando o Ipea viu a revolta que causou, o instituto corrigiu o erro,  não era exatamente 65% e sim 26% concordavam que mulher que usa roupa curta ou decotada merece sim ser estuprada.
As vitimas, a maioria são nada menos que adolescentes e crianças do sexo feminino. E com isso podem causa-las marcas físicas e psicológicas, e os relacionamentos sociais podem se comprometer por vergonha ou pelas pessoas acharem que o estupro é uma doença contagiosa, que ninguém pode chegar perto de quem sofreu o abuso.
Embora, ainda existe pessoas que apoiam essa ideia, são apenas humanos que não conhecem sobre o assunto. Posteriormente a  pesquisa, o Brasil agora poderia ser conhecido como ""cultura do estupro"", pois se a vitima usa roupas menores ela merece ser estuprada, sendo assim ela acaba se responsabilizando da violência .
Portanto, o Brasil continuará sendo esse país da ignorância, o país das diferenças, mas todo mundo é igual, e ninguém merece ser violentado.",1.5
"""Nunca na historia desse país"" houve relato de terrorismo. Entretanto, prestes a receber eventos internacionais como Copa das Confederações, Copa do Mundo, e ainda os Jogos Olímpicos o Brasil deve estar preparado contra qualquer possível ação terrorista, principalmente pelo fato de que o país se torna a ""bola da vez"" por estar sediando eventos internacionais, atraindo a atenção de todos os lados do mundo.
Embora o país esteja investindo em segurança, ainda fica a incerteza de que os próximos grandes eventos que estão por vir não trarão riscos para a população brasileira e também para os visitantes. O governo deve trabalhar atento, e além de aumentar os investimentos na segurança, deve ensinar a população à como ajudar, através do disque denuncia , por exemplo, e prepará-la para caso ocorra algum tipo de ação terrorista.
Não dá pra afirmar se o Brasil está na rota de grupos terroristas, mas o melhor a se fazer é estar prevenido e preparado para possíveis atentados. Trabalhar na prevenção através de uma rigorosa fiscalização nas fronteiras brasileira e nos principais aeroportos do país, de modo que possa neutralizar a ação de grupos terroristas. Como já diz o ditado popular: ""é melhor prevenir do que remediar"".
Visto que, o Brasil sediará grandes eventos, e consequentemente atrairá a atenção de todo o mundo, o país deve sim se preocupar e esperar por possíveis ações de grupos terroristas, estando mais que preparado caso tais ações aconteçam.",3.0
"""O Brasil é um país do futuro"", já dizia Renato Russo em suas belas canções . Para que haja uma ordem no progresso da nação, é necessário ter muita disciplina, que em contra partida denotará o interesse na educação do país e com rigidez, esforço e paciência, isso espelhará em um futuro promissor para a educação brasileira.
O ensino militar, por exemplo, mostra que a junção desses elementos (citado  no primeira paragrafo ) resulta nas boas notas em avaliações externas que são submetidos. Dedicação e foco são necessário para formar críticos, que por sua vez, tende a contribuir no aperfeiçoamento dessa metodologia de ensino do país.
Não é para tanto que a demanda da procura para ingressar no ITA é uma das mais cotadas hoje no Brasil, isso só deixa mais claro o quão bom e a forma de ensino nessa instituição, que forma profissionais de alta qualidade, tal qual uma nação em desenvolvimento necessita na atual contemporaneidade .
Por tanto , em feito aplausivo, seria a ampliação desses colégios militares feito pelo governo, a acessibilidade à essas escolas trará uma nova visão para o jovem que sonha. Essa autoridade no ensino mudará a forma de pensar, agir, senso crítico . A presença da disciplina militar em regiões com baixo rendimento em avaliações externas, deve ser prioritária e urgente. Para termos ordem e progresso, é necessário uma boa base educacional para os jovens, que são o futuro do país.",3.0
"""O gigante acordou"". A frase que impulsionou as manifestações e foi tema de diversos cartazes nos faz pensar: será que o Brasil realmente despertou?
Embora os protestos desses últimos dias obtiveram uma ascensão midiática impressionante, sabemos que isso não será o suficiente para alcançarmos o êxito em relação as pautas. É necessário, além da exposição de nossa insatisfação, darmos um prazo para que o governo regularize sua situação e cumpra o que foi reivindicado.
Desse modo, se as devidas providências não forem tomadas, devemos voltar ""às ruas"". Democracia é isso: a constante fiscalização daqueles que nos representam dentro do contexto político nacional.
Existe ainda uma questão sobre o que, de fato, mudará no país após esse movimento. Isso porque, toda  revolta possui um objetivo. Será que o Congresso aprovará os pedidos? Uma coisa é certa, já demos o passo de partida para a alteração do cenário. Através dos ocorridos, já conquistamos, por exemplo, em São Paulo e no Rio de Janeiro, a redução das tarifas dos transportes públicos; em âmbito nacional, a PEC 37, que limitaria o poder investigativo do Ministério Público, foi rejeitada.
Entretanto, não foram solucionados todos os requisitos. Há ainda muito o que fazer. Melhorias na educação e na saúde são também bastante exigidas, uma vez que é lamentável que um país com economia crescente como o Brasil, ocupe o penúltimo lugar no ranking mundial da educação e o 72º no de saúde.
Fundamentado no que foi exposto, é possível aferir que estamos em progresso . Porém, o trajeto será longo e árduo. Precisamos romper com alguns paradigmas e esquecer o famoso ""jeitinho brasileiro"", pois só assim estaremos inseridos no verdadeiro paraíso tropical: uma nação isenta de corrupção e agindo em benefício de todos.",7.5
"""O homem nasce livre, e por todos os lados é posto a ferros"". A frase de Rousseau, um dos líderes da Revolução Francesa,  expressa um dos pilares da ideologia desta revolução - a ânsia por liberdade. Porém, após chegar ao poder, a burguesia, que acabou com formas de opressão e de repressão da sociedade feudal, instaurou um Estado que tem seus próprios meios de repressão.
Por todos os lados, o homem continua sendo ""posto a ferros"", e esta repressão começa já dentro de casa, na educação fornecida pela família. Em nome de ""educar"" os filhos, muitas vezes os pais vêm a necessidade de obrigar ou de proibir as crianças de fazerem coisas para as quais não encontram argumentos, e acabam recorrendo a medidas coercitivas - os chamados castigos, que podem ser morais ou físicos.
Embora sejam a própria sociedade e suas exigências que levam a este  comportamento, hipocritamente o Estado tem um discurso contrário aos eventuais abusos cometidos pelos pais, chegando a prever em suas leis a punição para estes abusos. Na esteira da repercussão do caso Nardoni, surgiu no Brasil a polêmica proposta de lei que pode punir até mesmo palmadas que sejam dadas pelos pais em seus filhos.
Os pais ficam proibidos de punir os filhos fisicamente, e caso o façam podem ser... punidos fisicamente - com a perda de sua liberdade realizada de maneira violenta, através da prisão. Que tipo de lição pode ser tirada disto ? Se é errado punir de maneira abusiva, se os pais devem conseguir outras maneiras de educar seus filhos, por que o Estado deve ""educá-los"" por meio da punição?
A própria proposta de uma lei como esta revela as contradições profundas que fazem com que o problema da violência de pais contra filhos não possa ser resolvido simplesmente por uma lei. Em uma sociedade tão repressiva, que pune até mesmo a repressão com mais repressão, como um indivíduo pode ser criado livre, sem por todos os lados ser posto a ferros?",9.5
